name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Inglewood,Inglewood,Don Fizzy,2021-08-20,138352,49,0.758,0.676,0.419,0,0.339,0.85,0.11,-9.336,0.0625,0,84.961,4
Home,Home,Lazlow,2021-11-15,116333,50,0.69,0.681,0.569,1,0.338,0.936,0.101,-10.406,0.0384,1,71.537,1
It's All Good,It's All Good,KaspaHauser,2021-10-27,140571,52,0.161,0.784,0.961,8,0.413,0.829,0.114,-6.541,0.116,0,140.015,4
Clocks,Clocks,xander.,2022-04-05,237791,51,0.0331,0.719,0.278,3,0.46,0.363,0.0366,-8.894,0.0974,0,81.52,4
Long Way Home,Long Way Home,Hoffy Beats,2021-12-03,137215,28,0.247,0.59,0.26,6,0.38,0.881,0.102,-10.65,0.0371,1,154.068,4
Natural Springs,Natural Springs,Oaty.,2021-05-27,138666,49,0.885,0.83,0.467,7,0.263,0.716,0.107,-10.287,0.0451,0,134.95,3
Cidade,Cidade,Jakspin,2021-04-09,130000,50,0.175,0.695,0.377,6,0.43,0.821,0.132,-12.037,0.0695,0,85.997,4
Morning Coffee,Morning Coffee,BƱBBLE,2021-11-22,99709,50,0.106,0.941,0.965,11,0.204,0.857,0.376,-19.549,0.243,0,120.026,4
Central,Central,Sammy TQ,2022-01-21,151562,50,0.648,0.807,0.558,0,0.136,0.937,0.0668,-11.208,0.0542,0,83.997,4
Midnight Cruisin',Smooth,Soul Legend,2021-12-01,132413,50,0.0302,0.811,0.923,6,0.624,0.111,0.16,-9.067,0.0953,0,174.039,4
Airmode,Airmode,Zmeyev,2022-04-22,142572,51,0.524,0.782,0.35,1,0.243,0.893,0.102,-9.453,0.036,0,85.129,4
Out for a Stroll,Out for a Stroll,Tabi,2021-07-16,222000,49,0.527,0.656,0.0384,0,0.601,0.279,0.256,-8.093,0.096,1,80.006,4
effervescent,effervescent // perspective,Lamar Azul,2021-05-19,132163,50,0.149,0.802,0.341,11,0.652,0.781,0.0991,-10.983,0.0885,0,93.034,4
spring breeze,spring breeze,yeyts.,2022-03-24,96000,49,0.183,0.67,0.494,11,0.351,0.17,0.116,-7.109,0.0571,1,160.013,4
Who's World Is This?,Who's World Is This,Shuko,2022-05-06,156430,50,0.101,0.637,0.791,1,0.447,0.909,0.0973,-7.697,0.0954,0,89.9,4
Sunshine,Sunshine,RLLBTS,2022-04-07,132112,46,0.0268,0.774,0.695,10,0.479,0.888,0.156,-9.314,0.106,0,90.004,4
Motion,Motion,Lazlow,2021-12-08,127373,46,0.158,0.833,0.397,7,0.619,0.914,0.351,-8.185,0.0526,0,139.927,4
Suave Park,Suave Park / Mikasa,Noflik,2021-09-01,106546,53,0.451,0.885,0.933,6,0.674,0.591,0.213,-9.996,0.0784,0,145.9,4
Astro Travellers,Astro Travellers,Skeptika,2022-02-11,144000,25,0.642,0.832,0.319,10,0.119,0.936,0.105,-11.845,0.0449,0,140.086,4
sundaythefirstofaugust,sundaythefirstofaugust,Webmoms,2022-04-27,157946,47,0.949,0.753,0.397,11,0.22,0.934,0.115,-14.209,0.0583,0,139.048,4
Lazy Sunday,Lazy Sunday,UKDD,2022-01-17,162962,49,0.831,0.482,0.318,7,0.365,0.112,0.105,-10.138,0.077,1,79.041,4
Perpetual,Perpetual,Phlocalyst,2021-10-07,136551,50,0.864,0.428,0.177,7,0.152,0.917,0.108,-13.096,0.0547,0,86.902,4
Mr. Green,Mr. Green,KaspaHauser,2022-03-25,141333,52,0.906,0.753,0.256,7,0.401,0.89,0.168,-10.618,0.12,0,90.075,4
blitzlys,blitzlys,damaa.beats,2022-01-14,150554,49,0.443,0.787,0.745,1,0.341,0.533,0.101,-9.337,0.046,1,84.106,4
Something Between Us,Something Between Us,Sátyr,2021-05-14,150769,50,0.262,0.651,0.33,8,0.365,0.867,0.114,-15.675,0.0451,1,78.008,4
Monro Beach,Monro Beach,Oslo,2021-11-24,129600,52,0.871,0.614,0.713,2,0.295,0.927,0.11,-17.618,0.0568,0,149.981,4
Twilight,Twilight,Pixie Dust,2022-03-11,160000,48,0.187,0.767,0.384,1,0.503,0.68,0.196,-8.881,0.221,1,74.987,4
Lockdown,Lockdown,Richie Rych,2021-04-23,120968,50,0.0337,0.681,0.384,11,0.409,0.759,0.113,-12.027,0.071,1,176.003,4
Padron Peppers,Padron Peppers,Burrito Eats,2022-04-01,142500,53,0.412,0.551,0.62,10,0.439,0.915,0.154,-14.07,0.037,0,80.055,4
Evenings,Now / Again,Mr. Käfer,2021-09-17,169853,54,0.366,0.445,0.349,9,0.28,0.908,0.0937,-9.553,0.0688,0,93.834,5
Orion,Orion,Hans Hu$tle,2021-11-12,146000,49,0.111,0.58,0.227,0,0.423,0.65,0.696,-12.369,0.0663,1,82.957,4
Notice Me - Instrumental,Notice Me (Instrumental),High John,2022-02-11,109629,50,0.349,0.58,0.557,4,0.303,0.799,0.109,-20.007,0.0454,1,81.034,4
New music,New music,Don Philippe,2021-05-27,87159,46,0.468,0.709,0.54,1,0.262,0.847,0.15,-12.439,0.273,1,77.172,1
moonlights,moonlights,Oilix,2021-07-05,121153,51,0.0485,0.628,0.428,0,0.253,0.441,0.065,-14.122,0.0307,1,78.018,4
coração da praia,coração da praia,n o r m a l,2022-02-18,194818,48,0.551,0.606,0.915,5,0.429,0.825,0.0875,-10.837,0.103,1,79.098,4
