name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Pastoral,Pastoral,Christian Löffler,2020-11-04,220630,48,0.937,0.163,0.0335,10,0.191,0.959,0.0961,-20.924,0.0365,1,105.104,3
Blueberry,Blueberry,Direct,2021-07-02,212840,41,0.929,0.78,0.0393,9,0.222,0.747,0.0993,-10.309,0.271,0,97.484,1
Aerie,Siena,Southern Shores,2020-10-30,156478,0,0.0921,0.685,0.523,2,0.499,0.889,0.0615,-8.4,0.052,1,101.993,4
Bloom,Bloom,Teset,2021-07-09,276960,34,0.625,0.516,0.216,8,0.428,0.902,0.374,-14.036,0.0278,1,124.997,4
Dawn Aura,Forms,Rohne,2021-10-01,277000,33,0.289,0.468,0.177,7,0.646,0.796,0.123,-10.307,0.0452,1,160.291,5
Far From Home,We Should Chill On The Windowsill More,Loz Goddard,2020-10-23,326129,42,0.805,0.783,0.315,11,0.56,0.915,0.11,-12.682,0.0402,1,123.973,4
Cusp - Edit,Cusp,Frameworks,2021-05-14,249080,40,0.278,0.733,0.0823,5,0.726,0.83,0.173,-9.894,0.0366,0,117.991,4
Love,Love,Liam Mour,2020-10-09,278325,39,0.103,0.32,0.141,2,0.495,0.872,0.108,-10.374,0.0353,1,128.551,4
Lido,Isles,Bicep,2021-01-22,200240,45,0.966,0.648,0.169,9,0.339,0.881,0.105,-14.428,0.0304,0,119.984,4
Quasar,New Light,Gidge,2020-11-06,352215,0,0.278,0.453,0.0574,9,0.481,0.881,0.348,-9.277,0.0789,1,177.008,3
"8 Hours, Still No Rain","8 Hours, Still No Rain EP",Hosini,2020-10-21,182900,47,0.924,0.383,0.0547,6,0.21,0.95,0.0937,-17.512,0.0352,1,119.997,4
Shibori,Boro,Yarni,2021-05-28,388692,34,0.0251,0.72,0.218,6,0.862,0.0389,0.309,-6.04,0.0732,0,124.095,4
Flicker,Flicker,Rohne,2021-08-27,287704,33,0.282,0.715,0.113,4,0.571,0.828,0.11,-8.241,0.0364,0,122.025,4
El Layali,Amor Fati,Barry Can't Swim,2021-07-09,189760,51,0.0539,0.743,0.617,1,0.554,0.83,0.0919,-12.539,0.0482,1,122.004,4
21,In The Sweetness of You,Logic1000,2021-11-12,233253,39,0.00986,0.717,0.512,7,0.597,0.893,0.122,-10.477,0.0584,0,118.05,4
Terrace Rain,Terrace Rain/Grid Search,afternoon bike ride,2021-07-23,176548,36,0.837,0.797,0.132,0,0.219,0.338,0.131,-15.066,0.0736,1,112.006,4
Before,Wave000 (2017 Unreleased),Alex Lustig,2022-02-11,142759,37,0.942,0.313,0.0758,1,0.413,0.647,0.0726,-13.632,0.267,0,91.86,5
Hanging D - Max Cooper Remix,Hanging D (Max Cooper Remix),Joep Beving,2021-07-13,305402,36,0.699,0.418,0.0816,2,0.506,0.973,0.113,-12.372,0.0339,0,173.993,4
Radio,Radio,Pandit Pam Pam,2021-08-12,153986,28,0.879,0.724,0.571,8,0.44,0.913,0.124,-13.092,0.0839,0,117.006,4
Once Around,"Hardly A Day, Hardly A Night",Cubicolor,2020-02-21,222000,46,0.9,0.436,0.0926,8,0.163,0.906,0.107,-18.953,0.0338,0,174.996,1
Rotterdam Rita,Rotterdam Rita,Fletcher Reed,2021-03-12,138199,3,0.771,0.446,0.334,4,0.784,0.869,0.107,-9.26,0.0954,0,136.54,4
Stranger to One,Time to Recover,Feiertag,2021-05-28,136383,0,0.169,0.622,0.493,5,0.499,0.922,0.136,-8.906,0.0468,0,81.022,4
Parallel 7,Parallel,Four Tet,2020-12-25,343400,44,0.884,0.649,0.257,10,0.491,0.678,0.111,-15.286,0.0774,0,78.019,4
Universal Intimacy,Universal Intimacy,Blackboxx,2021-01-19,200720,0,0.00549,0.631,0.392,3,0.742,0.754,0.0969,-3.984,0.028,1,128.039,4
Busy,Nothing Good Will Come of This,Flawed Mangoes,2020-12-11,252428,34,0.734,0.678,0.199,8,0.597,0.906,0.11,-7.173,0.0319,1,139.942,4
Let You,Let You,Autumn Glow,2021-07-30,206222,35,0.0933,0.411,0.222,9,0.756,0.884,0.0811,-11.146,0.103,0,135.11,4
Unheard Melodies - Edit,Unheard Melodies (Edit),µ-Ziq,2021-09-28,280658,28,0.0179,0.741,0.171,9,0.529,0.95,0.11,-11.568,0.0394,0,115.028,4
Ultra Marine,Ultra Marine,Sweatson Klank,2021-01-13,238235,0,0.925,0.291,0.0383,4,0.285,0.802,0.577,-18.982,0.0355,0,138.586,4
Tides,Kilopascal EP,Louf,2021-08-27,331624,9,0.835,0.667,0.786,8,0.768,0.908,0.335,-13.028,0.0487,1,130.963,4
Above,Above,Liam Mour,2021-11-26,187786,35,0.121,0.462,0.0625,5,0.433,0.845,0.154,-13.54,0.0339,1,174.062,4
Surrender Yourself,Surrender Yourself,Lawrence Hart,2021-02-26,347413,42,0.0813,0.641,0.0708,7,0.677,0.826,0.111,-9.002,0.0462,0,122.992,4
Body Control,Body Control,Lauren Flax,2021-07-14,402024,34,0.0704,0.515,0.0925,0,0.473,0.937,0.117,-14.753,0.0523,1,196.076,4
Sleep Swimming,Sleep Swimming,Gelka,2020-10-23,160000,38,0.947,0.364,0.386,9,0.5,0.678,0.84,-13.751,0.0351,0,105.206,3
Homesick,Cherry,Hotel Rubio,2021-10-01,234289,26,0.00317,0.61,0.252,6,0.656,0.857,0.16,-9.811,0.158,0,126.096,4
The Ladder,The Ladder,Röyksopp,2022-01-13,333520,44,0.548,0.628,0.297,5,0.484,0.909,0.119,-11.867,0.0249,0,104.993,4
Moon In Your Eye,I Could Be Your Dog (Prequel),Kaitlyn Aurelia Smith,2021-09-15,134000,39,0.953,0.188,0.0389,9,0.27,0.975,0.116,-17.482,0.033,1,91.489,4
Night Owl,Night Owl,Cihangir Aslan,2021-02-05,376082,0,0.884,0.542,0.176,4,0.521,0.914,0.124,-12.566,0.104,0,194.049,4
"Baby, We're Ascending","Baby, We're Ascending",HAAi,2022-05-04,387160,47,0.00145,0.429,0.101,9,0.811,0.13,0.502,-7.91,0.0468,1,139.962,4
Tropic Air,Tropic Air,RUMTUM,2021-07-09,224000,34,0.00557,0.615,0.754,8,0.576,0.887,0.0754,-9.422,0.316,0,180.042,4
Don’t Leave Me Alone,Don't Leave Me Alone,AK,2022-04-15,182769,36,0.962,0.421,0.148,1,0.397,0.852,0.142,-17.275,0.873,1,130.102,4
L'architettura Del Mare,Stasi,Populous,2021-06-11,304813,34,0.309,0.626,0.147,1,0.387,0.907,0.12,-13.878,0.0599,0,140.019,4
Every Day the Sun Comes Up,Every Day the Sun Comes Up,DJ Counselling,2021-02-19,316194,39,0.042,0.588,0.127,7,0.782,0.898,0.111,-10.453,0.0378,1,121.996,4
TIOLI,TIOLI,RONA.,2022-04-21,278561,40,0.0826,0.624,0.0385,4,0.741,0.927,0.15,-6.606,0.0342,0,118.001,4
Echo Paths,Always Inside Your Head,Lone,2021-10-29,312680,33,0.614,0.36,0.14,10,0.749,0.941,0.916,-9.376,0.0584,1,81.014,4
Ozu,Diego E.P.,Gotts Street Park,2021-09-02,221946,43,0.888,0.6,0.227,4,0.412,0.936,0.109,-11.885,0.0503,0,91.772,4
Why She Is Hiding in the Other Man's Eyes,Why She Is Hiding in the Other Man's Eyes,||||||||||||||||||||,2021-06-04,304390,37,0.873,0.682,0.212,11,0.266,0.876,0.109,-20.196,0.0342,0,81.993,4
Deep Blue,Deep Blue,AK,2020-10-02,196441,0,0.654,0.667,0.192,9,0.56,0.88,0.0876,-13.864,0.0467,0,140.511,4
Wake Up - Nuage Remix,Wake Up (Nuage Remix),Sterling Grove,2021-07-02,216224,46,0.00382,0.655,0.458,10,0.724,0.881,0.0784,-9.628,0.0563,0,119.029,4
Efflorescence,Languid Gongue,Luke Sanger,2021-08-13,330000,34,0.801,0.517,0.546,1,0.697,0.912,0.104,-7.933,0.032,1,145.57,4
The Letter,Letter EP,Chris Malinchak,2020-11-06,235435,50,0.0111,0.729,0.322,7,0.621,0.938,0.0656,-14.886,0.042,0,126.015,4
Indonesia Print,Quinto Relatório Anual,Pandit Pam Pam,2021-08-26,217428,31,0.979,0.41,0.106,8,0.234,0.882,0.118,-15.29,0.064,1,109.535,4
And Then You Came,As Above So Below (Deluxe Version),FERR,2020-12-04,287541,47,0.928,0.148,0.0321,0,0.144,0.627,0.112,-20.631,0.0383,1,143.656,3
