name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Nocturnal,Nocturnal,Milky Moustache Beats,2022-04-18,132322,44,0.973,0.673,0.126,11,0.128,0.834,0.109,-15.42,0.0967,1,144.104,4
On Repeat,On Repeat,Matt Kaff,2021-10-08,150973,42,0.84,0.681,0.669,1,0.289,0.933,0.251,-9.368,0.0459,1,156.063,4
Finesse,Roughly Human,Foghouse,2022-01-10,154285,39,0.587,0.747,0.413,8,0.191,0.544,0.11,-16.227,0.0457,1,140.124,4
Blanca,Blanca,HoKø,2021-08-20,133629,40,0.556,0.625,0.128,4,0.267,0.921,0.0572,-14.005,0.0494,0,144.013,4
cube,cube,nadezhiko,2022-02-20,142522,39,0.336,0.779,0.0749,0,0.0563,0.812,0.104,-19.742,0.0589,0,139.99,4
Counting Sheep,Counting Sheep,Guustavv,2021-10-15,188250,46,0.783,0.605,0.118,1,0.258,0.889,0.0851,-12.793,0.0556,1,63.996,4
Smoove Sauce,Smoove Sauce,Auto Smile,2021-10-03,169756,39,0.922,0.638,0.282,9,0.159,0.933,0.123,-13.964,0.0591,1,81.993,4
Red Wine at Dawn,Red Wine at Dawn,Blackburri,2021-10-15,181724,46,0.625,0.65,0.435,5,0.401,0.889,0.122,-12.317,0.0322,0,86.995,4
Pizogi,Solsken,Guustavv,2021-09-24,162639,39,0.802,0.685,0.332,5,0.521,0.845,0.115,-5.541,0.0526,1,84.969,4
Electro Lofi,Electro Lofi,´Goule,2022-04-05,115200,40,0.606,0.662,0.184,7,0.365,0.839,0.756,-13.033,0.0762,1,74.995,4
The Hotel at the End of the World,The Hotel at the End of the World,lechiffrebeats,2022-05-24,91825,27,0.73,0.717,0.27,1,0.314,0.484,0.153,-12.152,0.0511,1,148.106,4
Sk8bump,Sk8bump,The Deli,2022-05-27,108013,0,0.7,0.766,0.468,8,0.0571,0.922,0.202,-13.185,0.263,1,80.074,4
Lofi love,Mario Lopez,Ceelen,2022-04-05,96000,38,0.578,0.671,0.521,9,0.426,0.933,0.119,-13.886,0.0539,0,79.989,4
Rain Relaxation,Rain Relaxation,PIÑA PINK,2021-10-15,180197,45,0.95,0.72,0.0392,3,0.422,0.807,0.0751,-14.467,0.0487,1,151.982,4
forgotten technology,forgotten technology,Samarinen,2021-06-21,121453,39,0.51,0.746,0.415,8,0.248,0.512,0.194,-12.562,0.0881,1,79.996,4
Buzz,Buzz,Ritsou Lalai,2021-10-17,154285,45,0.574,0.669,0.122,11,0.477,0.897,0.164,-9.158,0.124,0,83.73,4
wanna do nothing.,wanna do nothing.,bluemoon.music,2021-09-16,96006,43,0.989,0.681,0.394,0,0.0263,0.581,0.0744,-26.871,0.0601,1,100.11,4
Reefs,Triptych EP,Oddability,2021-10-15,97781,39,0.901,0.743,0.0933,9,0.339,0.782,0.111,-15.977,0.0534,1,138.988,4
Just Another Sip,Domino Party,Maraboy,2021-09-28,138000,39,0.431,0.643,0.119,0,0.303,0.891,0.676,-16.515,0.0702,1,160.044,3
Calma,Calma,Elaine D.,2021-11-05,145260,39,0.566,0.564,0.458,7,0.233,0.852,0.326,-17.303,0.0321,0,84.998,4
miracle moments,miracle moments,flotate,2021-09-19,156456,41,0.53,0.743,0.0672,7,0.157,0.812,0.111,-16.47,0.083,1,139.97,4
Until Dawn,Until Dawn,Julia Groves,2021-09-24,146333,46,0.762,0.548,0.119,4,0.283,0.877,0.0804,-11.739,0.0274,1,74.995,4
String Theori,String Theori,Blackburri,2021-05-28,224634,39,0.765,0.649,0.129,5,0.251,0.925,0.113,-15.855,0.0501,0,81.969,4
Noctuid,Noctuid,Prithvi,2022-05-27,130285,0,0.944,0.295,0.219,6,0.0598,0.931,0.0871,-17.243,0.0525,1,210.101,3
Road Trip,Road Trip,Strong.AL&,2021-09-16,129141,44,0.309,0.536,0.0678,11,0.496,0.905,0.206,-12.282,0.0507,0,119.984,4
Cognac,Cognac,Grill Hensler,2021-09-18,136000,40,0.722,0.679,0.174,7,0.227,0.918,0.115,-14.675,0.0698,1,89.999,4
Don Lemon,Don Lemon,Sátyr,2022-05-27,104036,0,0.229,0.819,0.617,0,0.472,0.892,0.0933,-10.961,0.146,1,90.018,4
Lonely Horseman,Lonely Horseman,Smuff Tha Quiz,2021-09-03,120950,0,0.66,0.494,0.232,2,0.318,0.751,0.122,-12.778,0.0601,0,48.81,3
Fingers Crossed,Fingers Crossed,Lazy Leopard,2021-03-19,85071,41,0.735,0.644,0.372,7,0.117,0.79,0.123,-12.183,0.0957,1,70.02,4
