name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
We Are Love,Amont,Lucavietski,2022-01-31,117567,54,0.665,0.824,0.0867,6,0.155,0.322,0.0777,-19.637,0.0695,0,148.11,4
Pepper & Salt,L0vesick / Pepper & Salt,Blac Bamboo,2022-04-15,250302,54,0.17,0.795,0.49,11,0.395,0.842,0.111,-9.573,0.199,1,85.043,4
Makin’ Headlines,The Daily News,Trippy Park,2022-04-12,76000,52,0.154,0.797,0.555,11,0.291,0.895,0.225,-11.585,0.054,0,90.034,4
Mrs. Maisel,Mrs. Maisel,Grace Belly,2022-04-15,146816,52,0.863,0.697,0.607,9,0.3,0.905,0.11,-12.137,0.22,1,160.263,4
Candy Shop,Candy Shop,Hey Aura,2022-04-18,139058,49,0.924,0.687,0.503,7,0.543,0.859,0.102,-6.468,0.081,1,169.959,4
The Daily News,The Daily News,Trippy Park,2022-04-12,74096,49,0.561,0.85,0.705,5,0.384,0.464,0.111,-14.812,0.108,0,83.054,4
Something To Sing About,Something To Sing About,X84,2022-02-13,164139,52,0.94,0.747,0.424,9,0.116,0.885,0.0852,-20.919,0.0619,1,77.976,4
Old School Love,Cinematic Lofi,Lonely Joyman,2022-03-13,166896,51,0.757,0.724,0.0839,7,0.151,0.89,0.146,-16.933,0.0805,0,87.003,4
Spaced,Spaced,Neon Panda,2022-01-19,155500,50,0.779,0.768,0.119,9,0.244,0.901,0.11,-13.545,0.0739,0,90.004,4
Changes,Changes,Rosemary beats,2022-02-10,117484,50,0.571,0.732,0.587,3,0.217,0.877,0.112,-14.753,0.183,0,75.009,4
Spit of the Self,Accusation with Criticise,Max Theissen,2022-04-29,106500,42,0.754,0.853,0.704,6,0.393,0.891,0.108,-10.573,0.131,0,119.966,3
Jade's Secret Kiss,Jade's Secret Kiss,Chamon,2022-05-05,194132,42,0.221,0.749,0.636,0,0.262,0.897,0.121,-16.882,0.0829,0,85.014,4
fresh brew,fresh brew,UKDD,2022-05-13,133150,45,0.587,0.687,0.89,11,0.575,0.907,0.0771,-8.188,0.0798,1,73.006,4
Lusty,Lusty,Major Mélanger,2022-03-04,123174,51,0.768,0.695,0.668,1,0.327,0.949,0.111,-18.15,0.1,1,78.392,4
Bounce Around,Bounce Around,Palmyra Flo,2022-01-20,148282,52,0.872,0.695,0.379,1,0.281,0.671,0.104,-9.165,0.102,0,80.021,4
Workit,Workit,Netta Inn,2022-02-08,165000,51,0.557,0.473,0.0475,4,0.194,0.784,0.106,-24.837,0.059,0,160.009,4
hoj ti to,hoj ti to,Ted Mandy,2022-02-08,110882,50,0.808,0.711,0.396,8,0.222,0.931,0.149,-11.07,0.0434,0,170.153,4
Exklusive Mermaid,Exklusive Mermaid,Hurricana Life,2022-02-09,103200,52,0.416,0.789,0.363,1,0.38,0.226,0.109,-9.565,0.156,1,149.841,4
Sun,Sun,ELEWAKA,2022-01-21,132000,53,0.862,0.774,0.693,2,0.38,0.783,0.152,-8.132,0.506,0,89.943,4
Garden Araki,Garden Araki,Pat Poker,2022-01-21,143703,51,0.919,0.394,0.18,9,0.137,0.926,0.111,-15.433,0.0985,1,80.144,4
Sunwalker,Sunwalker,Meryl Street,2022-02-18,141075,49,0.57,0.632,0.407,6,0.379,0.773,0.121,-8.767,0.119,1,69.708,4
After Dawn,After Dawn,Sitza,2022-03-27,146823,49,0.805,0.806,0.107,1,0.178,0.906,0.111,-12.793,0.0591,1,147.939,4
Bouncing Bliss,Bouncing Bliss,7&Nine,2022-05-26,116385,0,0.489,0.545,0.564,11,0.457,0.35,0.0987,-12.709,0.308,0,80.292,4
Junto Ao Mar,Junto Ao Mar,Shuko,2022-05-27,148026,0,0.51,0.619,0.334,5,0.507,0.726,0.15,-8.32,0.0414,0,87.078,4
Smooth Coffee,Smooth Coffee,RC Jay,2022-05-20,162187,0,0.54,0.618,0.41,0,0.108,0.844,0.109,-12.094,0.0324,0,79.983,4
Genesee,The Melrose Avenue EP Vol. I,Bobby Dreamz BIG,2022-05-27,105599,0,0.237,0.719,0.561,1,0.584,0.816,0.153,-7.276,0.2,1,74.986,4
Backdrop,Outer,Konteks,2022-05-27,149333,0,0.142,0.782,0.203,11,0.293,0.782,0.0387,-10.533,0.0496,0,89.958,4
Don Lemon,Don Lemon,Sátyr,2022-05-27,104036,0,0.229,0.819,0.617,0,0.472,0.892,0.0933,-10.961,0.146,1,90.018,4
