name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
FACE,SATURATION,BROCKHAMPTON,2017-06-09,259000,64,0.591,0.945,0.678,11,0.702,0.000538,0.0788,-5.016,0.12,0,119.887,4
Love Is Only a Feeling,Love Is Only a Feeling,Joey Bada$$,2017-07-06,152041,0,0.53,0.629,0.497,1,0.676,0.000325,0.701,-7.088,0.191,0,90.377,4
Broken Clocks,Ctrl,SZA,2017-06-09,231253,75,0.131,0.692,0.406,6,0.684,0.0,0.156,-7.364,0.155,1,112.912,4
Regrets,Regrets,Kevin Holliday,2021-06-23,154200,45,0.139,0.817,0.967,6,0.47,2.98e-05,0.0428,-10.272,0.0336,0,100.004,4
Spark It Up,Spark It Up,LEISURE,2020-08-14,271773,0,0.119,0.595,0.451,6,0.599,0.0132,0.539,-8.926,0.0535,0,149.843,4
upside down,upside down,lentra,2020-10-30,122925,39,0.695,0.428,0.42,9,0.516,0.185,0.108,-8.296,0.0391,0,175.692,4
Who Am I But Someone,Who Am I But Someone,Kate Bollinger,2022-03-08,162379,52,0.602,0.562,0.785,9,0.502,0.143,0.101,-8.223,0.0922,1,124.173,4
Electric U,Electric U,Kid Bloom,2016-06-07,171696,61,0.372,0.933,0.929,1,0.255,0.000281,0.0612,-11.092,0.0539,0,112.031,4
Real Love Baby,Real Love Baby,Father John Misty,2016-07-26,189293,0,0.0955,0.417,0.625,7,0.686,0.0287,0.0989,-6.484,0.0373,1,204.113,4
All My Dogs,Child,Sam Truth,2020-02-27,172295,17,0.078,0.421,0.0393,1,0.602,0.000325,0.109,-10.176,0.41,1,71.819,4
be cool,be cool,LOONY,2020-10-22,143647,43,0.582,0.877,0.518,3,0.344,0.00579,0.0969,-7.281,0.246,0,140.107,4
Don't Trust Me,Booyah,the booyah! kids,2019-12-17,120000,50,0.479,0.71,0.842,3,0.699,0.00255,0.0967,-9.472,0.0502,1,108.976,4
WILSHIRE,CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,515865,66,0.0451,0.555,0.555,1,0.712,5.14e-06,0.182,-7.446,0.323,1,78.958,4
