name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Midnight Coffee,Midnight Coffee,lostoutside,2022-05-27,137142,0,0.847,0.655,0.234,5,0.297,0.907,0.107,-11.213,0.0573,1,139.965,4
Spring,Spring,Jazzy James,2022-05-25,162439,0,0.874,0.619,0.428,0,0.385,0.877,0.127,-14.501,0.0437,1,81.967,4
Bitter Sea,Bitter Sea,Moderator,2022-05-13,150187,45,0.906,0.605,0.367,7,0.329,0.91,0.145,-14.203,0.0292,0,80.017,4
Ghost Town,Ghost Town,Codewav,2022-05-17,116756,27,0.907,0.518,0.158,2,0.153,0.676,0.126,-15.627,0.156,1,76.747,3
Crucial Decisions,Crucial Decisions,Patiotic,2022-05-18,164343,26,0.79,0.617,0.0738,9,0.326,0.768,0.0482,-15.979,0.183,0,80.044,4
Keep It Movin',Keep It Movin',Hands,2022-05-05,92709,29,0.129,0.658,0.287,1,0.69,0.522,0.157,-8.945,0.121,1,81.979,4
Adolescência,Adolescência,LOFI LAND,2022-05-13,117000,8,0.855,0.712,0.524,11,0.257,0.904,0.0965,-15.322,0.0876,0,80.017,4
I Need Her,I Need Her,Staysea,2022-05-10,96007,37,0.51,0.684,0.177,8,0.348,0.832,0.109,-11.564,0.0411,0,79.987,4
Sleepy Bird,Sleepy Bird,sleepsleepsleep,2022-05-19,132000,0,0.925,0.635,0.228,0,0.259,0.71,0.0769,-16.412,0.128,1,120.034,4
Star Gazer,Star Gazer,Birds Of The West,2022-05-18,149333,40,0.823,0.636,0.147,10,0.456,0.804,0.153,-6.286,0.0377,0,90.019,4
Stay True,Stay True,Florence Ada,2022-05-19,96187,34,0.96,0.418,0.296,10,0.177,0.94,0.11,-22.9,0.435,1,80.013,4
Love Letter,Love Letter,Cutecake,2022-05-05,158250,1,0.505,0.709,0.232,1,0.702,0.525,0.353,-5.621,0.241,1,79.95,4
Fractures,Fractures,Joshua Woolf,2022-05-13,182127,24,0.811,0.791,0.494,11,0.367,0.91,0.11,-12.747,0.0389,0,140.941,4
Monotation,Monotation,Seaspray,2022-03-17,161289,54,0.924,0.825,0.359,8,0.317,0.579,0.13,-11.035,0.0714,0,134.959,4
Unsung Stories,Unsung Stories,Alma Animo,2022-05-10,94693,14,0.454,0.636,0.716,6,0.423,0.874,0.0896,-11.125,0.0396,0,147.044,4
Big Day Out,Big Day Out,Stereo Fear,2022-05-13,114000,1,0.0889,0.698,0.154,9,0.401,0.787,0.112,-9.458,0.0585,1,167.939,4
Rites of Summer - All Love,Rites of Summer (All Love),Kuranes,2022-05-10,92368,25,0.708,0.651,0.673,8,0.278,0.886,0.115,-15.337,0.145,1,144.086,3
among the trees,among the trees,sagun,2022-04-07,118500,56,0.928,0.538,0.567,6,0.338,0.786,0.628,-16.808,0.155,0,139.956,4
Slump Chills,Slump Chills,Damn Homies,2022-05-20,162857,36,0.18,0.663,0.89,0,0.558,0.947,0.157,-8.445,0.174,1,83.973,4
SeasonFinale,LifesATrip,braj mahal,2022-05-13,124333,1,0.00539,0.409,0.108,9,0.669,0.893,0.0916,-5.309,0.0641,1,104.074,3
Interrupt,Interrupt,Puar,2022-05-13,93658,37,0.874,0.711,0.339,7,0.442,0.858,0.111,-9.515,0.0887,1,82.037,4
Hanami,Hanami,Natasha Ghosh,2022-05-27,113684,0,0.477,0.717,0.483,4,0.455,0.905,0.0702,-10.614,0.0861,0,76.001,4
Cozy,Cozy,Brad Enbata,2022-05-20,141176,0,0.805,0.67,0.194,8,0.337,0.903,0.116,-17.641,0.037,1,135.97,4
Alba,Alba,Bastido,2022-05-06,347349,16,0.55,0.788,0.883,2,0.613,0.328,0.106,-11.512,0.0351,1,130.019,4
Keen,Jazz Cats,Gas Lab,2022-05-05,176202,43,0.207,0.692,0.0866,2,0.365,0.902,0.315,-9.934,0.0436,1,78.973,4
For My Lady,For My Lady,Linkrust,2022-05-13,162534,25,0.802,0.752,0.519,3,0.335,0.000696,0.186,-9.464,0.255,0,95.024,4
Playground,Playground,Natasha Ghosh,2022-05-06,140000,33,0.821,0.669,0.0575,9,0.156,0.938,0.0906,-19.22,0.0321,1,144.133,4
oase,oase,Happy Tobi,2022-05-11,72911,29,0.0692,0.801,0.299,11,0.0737,0.827,0.094,-12.541,0.16,1,157.871,4
Light-Hearted Lady,Piano Is Here,High John,2022-05-26,144953,0,0.717,0.526,0.359,5,0.285,0.91,0.109,-15.834,0.0666,0,179.9,4
Mango Bathing,Mango Bathing,Nick Mosh,2022-05-27,132075,0,0.713,0.659,0.583,4,0.509,0.861,0.102,-13.92,0.0544,0,180.018,4
Hemisphere,Hemisphere,Dpsht,2022-05-27,103783,0,0.945,0.829,0.692,10,0.223,0.927,0.161,-13.42,0.104,0,73.976,4
Baracoa,Baracoa,SōNE,2022-05-25,114466,0,0.062,0.735,0.853,11,0.733,0.0354,0.137,-7.509,0.0443,0,104.098,4
Lowaltitude,Lowaltitude,ron quixote,2022-05-13,125420,2,0.801,0.727,0.789,0,0.495,0.493,0.115,-10.393,0.375,1,77.386,3
Mumba,Mumba,Kokomiko,2022-05-13,105600,29,0.956,0.73,0.313,0,0.206,0.643,0.115,-17.221,0.0389,1,99.984,4
Jatoba,Jatoba,MagFi,2022-05-05,160178,44,0.939,0.493,0.266,9,0.446,0.899,0.11,-9.755,0.0403,0,83.941,4
Second Chance,Second Chance,Cap Kendricks,2022-05-06,133500,42,0.0015,0.672,0.24,1,0.549,0.753,0.109,-8.321,0.324,0,80.022,4
Hazy Gecko,Hazy Gecko,Guzimi,2022-05-13,130065,42,0.888,0.715,0.559,5,0.458,0.856,0.295,-16.308,0.135,0,82.903,4
Break Of Dawn,Break Of Dawn,Katashi Kaitō,2022-05-13,152508,43,0.894,0.739,0.685,1,0.125,0.88,0.104,-14.18,0.0981,0,170.125,4
The Bay,The Bay,Seaspray,2022-05-26,156368,0,0.926,0.859,0.518,9,0.328,0.519,0.111,-11.661,0.0507,1,81.127,4
Soul Survivor,Soul Survivor,Mindscape,2022-05-20,181214,33,0.342,0.69,0.665,2,0.367,0.78,0.107,-10.892,0.0875,0,84.986,4
Retro Jam,Retro Jam,Blu Tone,2022-05-04,138342,30,0.727,0.816,0.5,11,0.215,0.944,0.0705,-13.681,0.0551,0,85.044,4
