name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
MidnightBlue,MidnightBlue,NICKELMAN,2021-10-01,183000,0,0.884,0.646,0.612,11,0.739,0.0084,0.245,-4.265,0.174,0,85.105,4
Keep It Real - Instrumental,Keep It Real (Instrumental),SoulChef,2022-04-06,189341,41,0.0662,0.851,0.964,4,0.852,0.837,0.154,-7.263,0.047,0,95.686,4
Fixed Emotions,Fixed Emotions,rec.memos,2021-08-19,158158,42,0.532,0.76,0.265,7,0.378,0.867,0.117,-11.719,0.0633,0,80.031,4
rebounce,Moods 2020,shamgang,2021-01-01,122608,37,0.118,0.687,0.606,10,0.577,0.841,0.108,-7.801,0.0736,0,91.988,4
Old Tram,Old Tram,Ozelot,2022-02-02,130444,33,0.792,0.567,0.48,9,0.434,0.452,0.344,-9.858,0.16,1,76.993,1
D-Bounce,D-Bounce,Bus Topp,2021-10-10,139460,30,0.00933,0.643,0.385,10,0.396,0.873,0.12,-10.767,0.0866,0,168.152,4
Flunked,Flunked,Pathos,2021-04-26,101055,31,0.0758,0.675,0.92,0,0.381,0.769,0.113,-12.482,0.0453,0,169.48,4
Higher,Higher,Nuble,2021-06-11,217902,30,0.0206,0.748,0.681,2,0.591,0.722,0.0529,-11.753,0.0548,1,80.019,4
Spin Cycle,Targets,Dylan Sitts,2021-09-24,145886,30,0.0271,0.586,0.702,2,0.905,0.882,0.111,-5.666,0.07,1,172.42,4
Painting My Thoughts,Painting My Thoughts,Obie Hans,2021-01-14,149831,36,0.7,0.745,0.157,9,0.383,0.954,0.108,-17.446,0.0614,1,80.005,4
Watanabe,Watanabe,KLIM,2021-09-24,119078,43,0.183,0.745,0.361,10,0.377,0.781,0.247,-10.774,0.223,0,171.894,4
Wax Poetry,Wax Poetry,Dazik69,2020-11-02,117333,31,0.121,0.748,0.5,6,0.247,0.46,0.0952,-14.915,0.0781,0,90.013,4
Priddy,Priddy,Fasion,2019-08-16,190975,35,0.0153,0.658,0.474,5,0.607,0.654,0.12,-5.146,0.0743,0,81.963,4
Miles,Translation EP,Soulmade,2021-09-24,132558,34,0.0161,0.641,0.768,8,0.491,0.872,0.242,-8.663,0.0449,1,182.081,4
Trillest,Playground Sessions Vol 1,isaintjames,2018-11-22,92897,0,0.00482,0.41,0.899,11,0.665,0.628,0.502,-8.773,0.127,1,182.517,4
