name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
"Derezzed - From ""TRON: Legacy""/Score",TRON: Legacy,Daft Punk,2010-12-03,104120,53,0.00166,0.54,0.126,1,0.635,0.788,0.209,-10.071,0.0519,1,119.995,4
A New Error,Moderat,Moderat,2009-05-11,367306,60,0.0287,0.717,0.0961,11,0.46,0.785,0.0661,-11.326,0.0372,0,110.993,4
84' Dreamin,In Decay,Com Truise,2012-07-16,220000,38,0.206,0.56,0.238,6,0.573,2.41e-05,0.338,-8.682,0.286,0,148.6,1
Bulbform,TRST,TR/ST,2012-02-28,289320,40,0.00293,0.574,0.189,1,0.948,0.786,0.195,-6.059,0.0397,1,114.005,4
Bury,A Meaning of Love,Mire.,2017-05-31,235299,42,0.00102,0.594,0.0369,4,0.861,0.119,0.11,-5.989,0.104,1,102.007,4
In Motion,The Social Network,Trent Reznor and Atticus Ross,2010-09-28,296770,46,0.697,0.618,0.356,7,0.638,0.912,0.12,-12.241,0.035,1,124.004,4
Spaced,"Globe, Vol. 3",The Toxic Avenger,2017-11-10,288000,44,0.000151,0.46,0.59,2,0.818,0.704,0.111,-8.744,0.0329,1,159.993,4
Firestarter,The Fat of the Land,The Prodigy,1997-06-30,279800,49,0.00335,0.545,0.355,11,0.948,0.364,0.226,-5.098,0.0779,1,141.507,4
Retrograde,Overgrown,James Blake,2013-04-08,223600,62,0.873,0.533,0.186,7,0.251,0.104,0.134,-11.283,0.0372,0,77.503,4
Kerosene,(III),Crystal Castles,2012-01-01,192000,58,0.0827,0.519,0.0862,8,0.546,0.0,0.133,-9.368,0.0763,1,115.799,4
Hacker,The Money Store,Death Grips,2012-04-23,275520,55,0.0567,0.681,0.38,9,0.88,0.0,0.0893,-3.895,0.227,1,124.885,4
Fear is your Only God,Fear is your Only God,Mala Sangre,2021-04-22,266718,40,0.0015,0.662,0.311,6,0.564,0.814,0.113,-12.129,0.0474,0,127.98,4
4:30,09/17 2007,Danger,2010-01-25,271946,47,0.0133,0.721,0.163,8,0.934,0.468,0.0915,-4.832,0.0467,1,128.999,4
Krack,Nite Versions,Soulwax,2005,323853,39,0.177,0.604,0.505,10,0.952,0.881,0.0874,-3.423,0.0373,0,112.844,4
Hell,Soundtrack To A Death,Mura Masa,2014-11-17,124285,30,0.00061,0.785,0.58,1,0.947,0.922,0.0499,-7.708,0.0731,1,140.021,4
Work It - Soulwax Remix,Work It (Soulwax Remix),Marie Davidson,2019-04-03,286080,51,0.319,0.846,0.848,0,0.737,0.494,0.0701,-8.611,0.0643,1,125.018,4
The Quiet Earth,The Quiet Earth,Thomas Barrandon,2018-02-16,330826,53,0.000117,0.424,0.0593,3,0.848,0.824,0.0996,-6.181,0.0376,0,95.506,4
Fantasy,Fantasy Special Edition,DyE,2011-01-23,289586,48,0.00101,0.519,0.217,10,0.861,0.315,0.407,-4.034,0.0289,1,110.009,4
A Drug From God,A Drug From God,Chris Lake,2021-11-12,192455,60,0.00819,0.714,0.819,9,0.883,0.843,0.231,-4.43,0.0625,1,126.016,4
VYZEE,VYZEE,SOPHIE,2015-11-27,202531,48,0.147,0.891,0.733,11,0.571,0.0,0.715,-5.568,0.332,0,129.994,4
22:39,Origins,Danger,2019-01-18,252203,46,2.49e-05,0.479,0.616,10,0.956,0.142,0.11,-4.956,0.03,0,118.007,4
Le perv,TRILOGY,Carpenter Brut,2015,256000,52,1.06e-05,0.537,0.388,5,0.911,0.853,0.662,-3.964,0.0478,1,120.036,4
AKUMA,AKUMA,ALEX,2017-06-23,234126,45,0.00123,0.809,0.564,2,0.65,0.0626,0.08,-7.457,0.0456,1,120.004,4
Synrise - Soulwax Remix,Synrise (10 Year Anniversary Edition),GOOSE,2020-10-22,222270,41,0.13,0.623,0.1,2,0.904,0.912,0.107,-4.712,0.0446,1,130.007,4
Chrome Country,R Plus Seven,Oneohtrix Point Never,2013-09-30,305287,42,0.123,0.378,0.0382,8,0.318,0.896,0.0933,-8.58,0.0351,1,121.904,4
Sulk,TRST,TR/ST,2012-02-28,377506,45,0.0078,0.573,0.103,2,0.903,0.509,0.153,-5.866,0.0355,1,127.988,4
Illest Alive,Instrumentals,Clams Casino,2011-03-07,249208,39,0.286,0.574,0.561,1,0.474,0.527,0.142,-13.799,0.035,1,97.031,4
Alicia - Single Version,Alicia,M|O|O|N,2017-03-07,568652,32,0.0718,0.672,0.496,10,0.515,0.879,0.1,-13.788,0.0338,0,115.017,4
Julie And Candy,Geogaddi,Boards of Canada,2002-02-19,330333,40,0.00245,0.677,0.105,1,0.623,0.931,0.21,-8.045,0.0394,1,145.866,4
Send The Pain On,Sparks,Chrome Sparks,2013-08-29,337095,40,0.0196,0.356,0.189,10,0.571,0.0632,0.369,-9.491,0.04,0,175.492,3
Someday,The Weight,Weval,2019-03-01,344258,39,0.253,0.35,0.0991,11,0.503,0.922,0.144,-12.681,0.0531,1,102.769,4
Motor,Total,SebastiAn,2011-05-30,243266,27,0.00918,0.581,0.146,1,0.982,0.534,0.677,-3.549,0.449,1,115.031,4
JPEG,JPEG,Digitalism,2019-12-06,171866,41,0.0044,0.4,0.247,1,0.812,0.744,0.363,-6.695,0.0562,1,216.087,4
Brian is the Most Beautiful,Songs & Demos 2015-2017,Memo Boy,2021-06-04,225000,62,0.39,0.483,0.365,5,0.8,0.848,0.213,-8.596,0.048,0,192.057,4
Itchy,Enthusiast,Siriusmo,2013-06-14,212581,40,0.0471,0.794,0.663,6,0.801,0.917,0.0729,-10.44,0.0595,1,132.013,4
Peroxide,E,Ecco2k,2019-11-27,214187,48,0.365,0.472,0.281,0,0.628,0.0343,0.113,-8.859,0.0525,1,164.956,4
Pogo,Idealism,Digitalism,2007-05-09,226466,53,6.46e-05,0.403,0.392,0,0.743,7.52e-05,0.526,-5.254,0.0447,1,136.013,4
Luv Deluxe,A Million Miles from Home,Cinnamon Chasers,2009,273531,49,0.477,0.623,0.664,9,0.621,0.92,0.116,-9.608,0.0352,0,159.992,4
Roygbiv,Music Has The Right To Children,Boards of Canada,1998-04-20,151520,54,0.0201,0.631,0.118,4,0.521,0.923,0.103,-10.312,0.063,0,84.033,4
Hell on Earth,Road to Nowhere,KAS:ST,2019-10-25,388254,47,0.0479,0.532,0.0634,8,0.897,0.908,0.0984,-8.566,0.0549,0,135.96,3
Ocean Death,Ocean Death,Baths,2014-05-06,329923,34,0.15,0.622,0.0396,1,0.834,0.762,0.403,-11.338,0.113,0,120.012,3
redruM,Valley of Shadow,Pogo,2020-03-01,251120,31,0.42,0.697,0.368,5,0.839,0.297,0.101,-7.665,0.0391,1,150.028,4
Core,VOID,RL Grime,2014-11-17,236800,47,0.00172,0.532,0.604,0,0.949,0.928,0.308,-3.903,0.0544,1,149.996,3
Player Of Games,Player Of Games,Grimes,2021-12-03,245542,59,3.22e-05,0.54,0.13,9,0.925,0.00102,0.172,-4.79,0.0363,0,130.943,4
Fly Away,Fly Away,TheFatRat,2017-06-02,194267,67,0.59,0.597,0.212,1,0.581,4.38e-06,0.137,-4.565,0.0366,0,147.987,4
Hey Boy Hey Girl,Surrender,The Chemical Brothers,1999-01-01,290493,62,0.119,0.632,0.363,2,0.92,0.508,0.114,-4.976,0.0531,1,127.001,4
Crystals,MOON E.P.,M|O|O|N,2011-11-27,289714,50,0.366,0.779,0.0373,9,0.465,0.858,0.107,-16.555,0.191,0,104.998,4
Crow (DJ-Kicks) - Mixed,DJ-Kicks (Forest Swords) [DJ Mix],Forest Swords,2018-05-18,214130,42,0.61,0.585,0.155,4,0.711,0.927,0.121,-14.389,0.0596,1,94.991,4
Some Minds (feat. Andrew Wyatt),Some Minds (feat. Andrew Wyatt),Flume,2015-05-29,263764,45,0.316,0.263,0.191,4,0.555,5.78e-05,0.128,-6.884,0.0446,0,79.783,4
TASTY,TASTY,Shygirl,2021-02-09,144200,43,0.00113,0.676,0.553,4,0.82,0.199,0.104,-5.347,0.061,0,129.991,4
The Robots - 2009 Remaster,The Man-Machine (2009 Remaster),Kraftwerk,1978,372760,46,0.0236,0.806,0.353,2,0.765,0.617,0.148,-9.665,0.0583,0,115.023,4
