name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Good Old Days,Zoned Out,Joakim Karud,2018-02-02,243370,27,0.022,0.685,0.342,9,0.755,0.769,0.0726,-8.295,0.0589,1,89.009,4
Butterfly,Loudness & Clarity,Joakim Karud,2016-10-31,228949,22,0.0592,0.659,0.528,10,0.593,0.0411,0.0957,-7.168,0.0278,0,83.511,4
No Way,No Way,Anomalie,2017-11-24,198798,19,0.54,0.686,0.415,6,0.524,0.0,0.102,-6.904,0.556,0,116.336,3
Blushes,Down the Road,DJ Quads,2018-07-17,168013,0,0.82,0.423,0.273,6,0.301,0.774,0.0833,-18.001,0.0728,1,161.151,4
The Forecast for Today,Down the Road,DJ Quads,2018-07-17,210573,0,0.746,0.709,0.808,5,0.421,0.0021,0.11,-14.232,0.264,0,75.048,4
Tale,Arcade,Tomppabeats,2017-12-08,65336,45,0.943,0.64,0.584,9,0.454,0.823,0.109,-14.989,0.304,0,80.949,4
Gardens,Chillhop Raw Cuts,Various Artists,2017-02-13,128464,0,0.146,0.747,0.409,2,0.339,0.741,0.0835,-7.881,0.0871,1,90.041,4
flow on,Confessions,Jinsang,2017-09-29,228811,43,0.724,0.663,0.599,6,0.535,0.929,0.113,-10.587,0.371,0,91.343,4
Fuji.,Swimming,SwuM,2018-09-09,108800,32,0.718,0.564,0.674,9,0.901,0.0359,0.151,-4.015,0.0526,0,150.027,4
With You,Small Cafe,Goldenninjah,2018-06-08,84009,17,0.364,0.827,0.54,0,0.403,0.828,0.157,-8.709,0.182,0,80.028,4
Long Way Home,Loungin,AK420,2017-03-31,180119,38,0.431,0.841,0.664,11,0.615,0.221,0.101,-8.487,0.08,0,171.975,4
St. Clements,St. Clements,Limes,2018-01-14,77519,41,0.356,0.752,0.373,8,0.142,0.583,0.104,-15.153,0.237,1,154.894,4
Dulce,Cenário,FloFilz,2016-09-02,131558,0,0.262,0.84,0.539,9,0.425,0.921,0.116,-9.404,0.0871,0,92.97,4
MindFull,Letting Go,Guru Griff,2018-07-08,138666,6,0.73,0.744,0.719,0,0.426,0.947,0.143,-6.515,0.124,1,89.991,4
Love Is - Instrumental,In With Time Instrumentals,Freddie Joachim,2018-05-11,204930,18,0.789,0.792,0.599,6,0.186,0.164,0.157,-11.409,0.153,1,94.025,4
