name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
I Need U,I Need U,yaeow,2020-05-28,142588,0,0.513,0.402,0.072,9,0.405,0.0167,0.155,-12.486,0.0713,1,84.873,4
Burning Hour,Hyper Romance,Jadu Heart,2020-09-25,278900,60,0.088,0.557,0.497,3,0.8,0.537,0.104,-6.867,0.0329,0,105.023,4
Ride,Ride,HYBS,2021-10-08,181622,66,0.788,0.757,0.715,5,0.393,0.000986,0.0501,-7.942,0.212,1,77.985,4
Sunrise,Sunrise,Kevitch,2020-01-01,208744,54,0.527,0.609,0.144,5,0.389,0.113,0.11,-11.675,0.0341,0,138.037,4
Seigfried,Favorites 3,Justice Der,2019-05-26,373014,45,0.991,0.373,0.116,4,0.0714,0.902,0.0914,-22.641,0.0441,0,155.638,4
Home,Home,Hrishikesh Hirway,2022-01-19,262611,44,0.499,0.627,0.24,0,0.334,0.162,0.112,-11.501,0.0352,1,115.154,4
Buzzed,Buzzed,¿Téo?,2021-06-01,159732,50,0.652,0.599,0.371,8,0.484,0.0104,0.0962,-11.866,0.06,1,152.001,4
idc,idc,Kevitch,2021-10-14,143681,46,0.765,0.555,0.0934,0,0.431,9.81e-05,0.364,-8.87,0.0297,1,86.99,4
homebody,homebody,Kamal.,2020-03-04,189000,54,0.575,0.762,0.255,4,0.244,0.000661,0.11,-14.089,0.0711,1,94.949,4
White Ferrari,Blonde,Frank Ocean,2016-08-20,248807,74,0.784,0.444,0.219,0,0.0924,0.0,0.304,-15.605,0.0366,1,108.917,4
Bolero,Bolero,Bathe,2021-09-16,205133,45,0.644,0.734,0.471,11,0.473,0.0164,0.0998,-10.107,0.0424,0,107.454,4
Rings of Saturn,Apollo 8,Alann8h,2021-11-19,173008,46,0.342,0.521,0.108,4,0.487,2.57e-05,0.538,-8.501,0.0385,1,150.072,4
Rain,Rain,Lucy Park,2020-08-28,151150,51,0.86,0.716,0.231,0,0.231,0.0393,0.112,-14.739,0.0527,1,107.049,4
And Then We'll Be Alright,And Then We'll Be Alright,DWLLRS,2020-01-31,119906,46,0.757,0.731,0.505,5,0.454,0.0857,0.67,-13.133,0.237,0,104.931,4
TECTONIC PLATES,TECTONIC PLATES,Evann McIntosh,2021-08-25,220141,44,0.73,0.428,0.133,0,0.177,1.51e-05,0.115,-18.58,0.0535,1,111.945,4
Ser De Ti,Marchita,Silvana Estrada,2022-01-21,207786,47,0.929,0.512,0.157,9,0.189,0.000629,0.121,-12.953,0.0398,1,158.526,3
Sola,Sola,Nina Cobham,2020-03-27,198661,0,0.294,0.749,0.334,4,0.383,6.63e-05,0.115,-13.404,0.152,0,125.384,4
Settle Down,Dad's Old Tapes,North Downs,2019-12-05,231066,47,0.806,0.505,0.235,9,0.528,0.827,0.0942,-8.959,0.0335,0,72.03,4
The Shaman,The Shaman,Joey Pecoraro,2021-11-19,156144,45,0.848,0.677,0.23,8,0.46,0.891,0.118,-10.749,0.0434,1,82.971,4
Where The Rocks Are,Where The Rocks Are,Maia Friedman,2021-11-10,233773,44,0.552,0.547,0.214,3,0.392,0.416,0.107,-11.425,0.028,1,131.969,4
Slipping Away,Slipping Away,LEISURE,2020-06-26,235506,39,0.427,0.707,0.774,11,0.546,0.17,0.101,-9.017,0.0399,0,78.007,4
Magia,Magia,Monogem,2021-08-26,199666,44,0.292,0.574,0.291,2,0.503,0.0269,0.0962,-9.919,0.0492,1,171.996,4
When Will I Learn,A Force Majeure,Tora,2021-09-03,169000,48,0.842,0.671,0.187,1,0.399,0.305,0.117,-11.571,0.0287,0,90.012,4
Me and Your Mama,"""Awaken, My Love!""",Childish Gambino,2016-12-02,379226,79,0.0116,0.554,0.237,5,0.433,0.0449,0.0667,-12.628,0.0341,1,117.996,3
Love and Hate in a Different Time,Love and Hate in a Different Time,Gabriels,2021-06-04,282177,52,0.564,0.785,0.604,0,0.363,0.452,0.0683,-9.02,0.0434,1,120.114,4
Yours,Yours,maye,2021-02-12,220887,58,0.714,0.67,0.799,11,0.707,0.065,0.0634,-9.726,0.0358,0,89.008,4
interested,interested,Nina Cobham,2021-05-26,193140,50,0.861,0.833,0.23,8,0.288,0.000155,0.138,-11.599,0.0783,1,126.002,4
Crust,Yasuke,Flying Lotus,2021-04-30,133520,57,0.576,0.676,0.226,9,0.408,0.867,0.201,-7.937,0.0811,1,106.515,3
Queen of Paisley,Queen of Paisley,Silas Short,2021-08-04,244673,43,0.788,0.662,0.333,10,0.253,0.00145,0.144,-9.975,0.0685,0,74.029,4
Jazz Club After Hours,Jazz Club After Hours,Barry Can't Swim,2021-06-04,294211,51,0.0635,0.724,0.439,9,0.681,0.938,0.329,-10.32,0.0378,0,119.012,4
dreamin',dreamin',53 Thieves,2020-02-07,207705,55,0.359,0.831,0.339,1,0.419,0.00228,0.0959,-7.381,0.44,0,84.983,4
Crazy,Crazy,Hope Tala,2020-10-15,259213,52,0.265,0.672,0.465,2,0.503,0.000321,0.204,-5.141,0.0464,1,60.496,4
walk but in a garden,walk but in a garden,LLusion,2019-06-19,110250,6,0.859,0.773,0.537,8,0.403,0.944,0.1,-11.617,0.0449,0,80.003,4
Garfield's Starfield,Garfield's Starfield,Recess Radio,2021-08-07,184615,42,0.17,0.848,0.863,1,0.447,8.76e-06,0.0856,-7.587,0.383,1,155.952,4
Fleur Blanche,Cutworks,Orsten,2011-01-31,252266,52,0.0121,0.783,0.613,8,0.402,0.896,0.168,-9.56,0.119,1,83.003,4
No Trouble,Drugstore Heaven,Houses,2021-04-02,219373,43,0.509,0.527,0.242,7,0.354,0.752,0.0937,-14.037,0.0359,1,89.98,4
Sleep Away,Sleep Away,Pastel,2021-11-12,181714,42,0.83,0.616,0.471,0,0.204,0.753,0.333,-16.436,0.0509,1,69.97,4
But There's Still the Moon,But There's Still the Moon,Tasha,2020-04-16,219660,0,0.342,0.662,0.271,8,0.36,0.013,0.117,-11.924,0.0303,1,125.848,4
peppermint,peppermint,lavender,2020-07-10,132915,49,0.895,0.564,0.564,4,0.379,0.257,0.0874,-7.732,0.0391,1,104.912,4
Wish I Was Better,Wish I Was Better,Kina,2020-04-10,140571,63,0.747,0.732,0.185,0,0.304,6.13e-05,0.143,-13.086,0.111,0,139.965,4
Sun is going down,Sun is going down,HIMI,2021-02-06,406566,22,0.861,0.497,0.149,7,0.266,0.263,0.0989,-12.67,0.0258,1,94.694,4
I Leave Again,I Leave Again,Petit Biscuit,2020-05-20,238066,0,0.542,0.755,0.148,2,0.614,0.00879,0.0937,-9.481,0.0548,1,124.02,4
Lost Cause,Lost Cause,Billie Eilish,2021-06-02,212496,4,0.705,0.671,0.518,10,0.336,0.00751,0.0577,-8.494,0.241,0,75.051,4
Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,2018-10-08,179080,78,0.72,0.498,0.0895,1,0.235,0.0,0.144,-16.541,0.188,0,118.917,4
Larabar,Larabar,Wet,2021-08-04,175122,45,0.894,0.491,0.152,0,0.318,4.96e-05,0.14,-10.057,0.0978,0,73.354,4
"Simple, Sweet, and Smiling","Simple, Sweet, and Smiling",Kacy Hill,2021-10-15,246973,43,0.701,0.599,0.413,8,0.749,0.103,0.385,-8.038,0.0855,1,174.073,4
everything's worth it,everything's worth it,iogi,2021-03-10,275925,44,0.4,0.853,0.72,8,0.396,0.23,0.104,-10.39,0.0409,0,97.002,4
alien jewelry,isolation,John The Blind,2021-01-12,226066,43,0.0803,0.453,0.219,3,0.541,0.0511,0.137,-10.664,0.0567,1,117.861,4
All I C Is U,Hunny,Nate Traveller,2020-10-16,160000,45,0.559,0.445,0.0939,0,0.212,0.259,0.102,-14.313,0.038,1,119.772,4
Picking Petals,Picking Petals,Goofy Geese,2022-03-25,229124,42,0.716,0.577,0.247,7,0.422,0.00167,0.134,-10.41,0.0506,1,124.898,4
no song without you,no song without you,HONNE,2020-06-12,161536,56,0.463,0.778,0.817,0,0.462,0.583,0.11,-12.729,0.0359,1,105.45,4
Sometimes (Backwood),Sometimes (Backwood),gigi,2021-02-15,153000,10,0.767,0.41,0.0694,3,0.174,0.00197,0.114,-11.405,0.0328,1,105.292,4
Muse,Muse (You Inspire Me),Afro Nostalgia,2018-07-16,123216,45,0.935,0.879,0.246,4,0.315,0.144,0.11,-13.052,0.175,1,131.998,4
I Want You Back,I Want You Back,wwoman,2020-11-20,247320,43,0.572,0.861,0.491,9,0.388,0.000984,0.33,-11.728,0.0543,0,89.989,4
Your Imagination (feat. Jaden),Your Imagination (feat. Jaden),Babe Rainbow,2021-03-24,197800,44,0.458,0.433,0.298,3,0.347,0.166,0.111,-9.553,0.0347,1,132.649,4
STAND STILL,STAND STILL,Bensbeendead.,2020-09-30,266511,42,0.789,0.629,0.27,9,0.355,3.45e-05,0.219,-6.253,0.0438,1,86.108,4
cloud castle,jams EP,Luna Li,2021-02-05,63214,47,0.04,0.556,0.349,0,0.563,0.9,0.245,-6.731,0.0523,1,83.9,4
Keep You Warm,This Empty Town,Jaguar Sun,2020-07-24,256204,46,0.614,0.527,0.18,7,0.555,0.574,0.33,-11.346,0.0272,1,143.917,4
Kingston,Atlanta Millionaires Club,Faye Webster,2019-05-24,202160,0,0.138,0.729,0.543,10,0.344,0.00107,0.134,-9.541,0.0395,0,142.13,4
Always Afternoon,Always Afternoon,Medasin,2019-05-10,183226,53,0.869,0.598,0.168,3,0.357,0.0957,0.27,-12.104,0.0492,1,75.017,4
